
2022/09/30 (21:46:41) | ===> btop++ v.1.2.9
2022/09/30 (21:46:41) | ERROR: Stall in Runner thread, restarting!

2022/11/28 (22:28:50) | ===> btop++ v.1.2.13
2022/11/28 (22:28:50) | ERROR: Stall in Runner thread, restarting!
2022/11/28 (22:28:56) | ERROR: Stall in Runner thread, restarting!
2022/11/28 (22:29:01) | ERROR: Stall in Runner thread, restarting!
2022/11/28 (22:29:07) | ERROR: Stall in Runner thread, restarting!

2023/01/15 (22:47:39) | ===> btop++ v.1.2.13
2023/01/15 (22:47:39) | ERROR: Stall in Runner thread, restarting!

2023/01/17 (21:39:59) | ===> btop++ v.1.2.13
2023/01/17 (21:39:59) | ERROR: Stall in Runner thread, restarting!

2023/01/26 (21:21:35) | ===> btop++ v.1.2.13
2023/01/26 (21:21:35) | ERROR: Stall in Runner thread, restarting!

2023/02/10 (20:04:28) | ===> btop++ v.1.2.13
2023/02/10 (20:04:28) | ERROR: Stall in Runner thread, restarting!
2023/02/10 (21:28:09) | ERROR: Stall in Runner thread, restarting!

2023/02/23 (23:20:54) | ===> btop++ v.1.2.13
2023/02/23 (23:20:54) | ERROR: Stall in Runner thread, restarting!

2023/04/16 (13:11:12) | ===> btop++ v.1.2.13
2023/04/16 (13:11:12) | ERROR: Stall in Runner thread, restarting!

2023/05/27 (19:17:29) | ===> btop++ v.1.2.13
2023/05/27 (19:17:30) | ERROR: Stall in Runner thread, restarting!
2023/05/27 (19:17:54) | WARNING: Failed to join _runner thread on exit!
